ice,rain,wind,dry,snow,cold,danger
0,0.00,16.11,0,0,82.00,0
0,0.02,17.00,0,0,79.00,0
0,0.14,14.99,0,0,61.00,0
0,0.00,14.09,0,0,57.90,0
0,0.00,14.99,1,0,68.00,1
0,0.00,8.05,1,0,71.10,1
0,0.88,16.11,0,0,63.00,0
0,0.00,8.05,0,0,73.90,0
0,0.00,14.09,1,0,63.00,1
0,0.45,16.11,0,0,62.10,0
0,0.01,10.07,0,0,73.00,0
0,0.19,17.00,0,0,57.00,0
0,0.00,21.03,0,0,54.00,1
0,0.00,8.05,1,0,55.90,1
0,0.45,16.11,0,0,46.00,0
0,0.00,12.08,0,0,36.00,0
0,0.00,10.07,1,0,48.90,1
0,0.00,10.07,1,0,45.00,1
0,0.00,14.09,1,0,48.90,1
0,0.00,6.04,1,0,53.10,1
0,0.00,12.97,1,0,48.00,1
0,0.05,23.04,0,0,42.10,1
0,0.00,12.08,0,0,37.00,0
0,0.00,8.95,1,0,57.00,1
0,0.00,12.08,1,0,66.00,1
0,0.00,17.90,1,0,41.00,1
0,0.00,12.08,1,0,59.00,1
0,0.29,16.11,0,0,52.00,0
1,0.29,19.91,0,0,42.10,1
0,0.00,14.09,0,0,73.00,0
0,0.00,14.09,1,0,52.00,1
0,0.00,17.00,1,0,78.10,1
0,0.00,14.09,1,0,88.00,1
0,0.00,12.97,1,0,82.90,1
0,0.00,23.04,1,0,90.00,1
0,0.00,16.11,1,0,57.00,1
0,0.00,23.94,1,0,91.90,1
0,0.00,16.11,1,0,68.00,1
0,0.00,14.99,1,0,93.90,1
0,0.12,14.99,0,0,82.00,0
0,0.00,8.95,0,0,79.00,0
0,0.00,16.11,1,0,82.90,1
0,0.41,25.05,0,0,87.10,1
0,0.29,19.91,0,0,84.90,0
0,0.01,12.97,0,0,88.00,0
0,0.00,12.97,0,0,93.00,0
0,0.01,14.99,0,0,93.90,0
0,0.00,14.09,0,0,93.90,0
0,0.00,17.90,1,0,100.90,1
0,0.64,29.97,0,0,98.10,1
0,0.00,17.00,0,0,97.00,0
0,0.00,17.90,1,0,100.00,1
0,0.00,12.97,1,0,93.90,1
0,0.00,14.09,1,0,89.10,1
0,0.12,10.07,0,0,78.10,0
0,0.00,10.07,0,0,91.00,0
0,0.00,14.09,1,0,88.00,1
0,0.10,19.91,0,0,96.10,0
0,0.00,12.97,0,0,90.00,0
0,0.00,16.11,1,0,89.10,1
0,0.00,12.97,1,0,90.00,1
0,0.00,10.07,1,0,97.00,1
0,0.00,17.90,1,0,91.00,1
0,0.00,14.09,1,0,88.00,1
0,0.03,12.97,0,0,88.00,0
0,0.00,16.11,0,0,87.10,0
0,0.00,16.11,1,0,96.10,1
0,0.00,10.07,1,0,93.00,1
0,0.00,14.09,1,0,93.00,1
0,0.00,17.90,1,0,96.10,1
0,0.00,14.99,1,0,99.00,1
0,0.00,14.99,1,0,96.10,1
0,1.84,21.92,0,0,77.00,1
0,0.00,14.99,0,0,69.10,0
0,0.00,17.90,1,0,82.00,1
0,0.00,14.09,1,0,88.00,1
0,0.10,8.05,0,0,64.90,0
0,0.00,10.07,0,0,68.00,0
0,0.00,16.11,1,0,78.10,1
0,0.00,17.00,1,0,64.90,1
0,0.00,16.11,1,0,63.00,1
0,0.02,10.07,0,0,55.90,0
0,0.00,14.99,0,0,66.00,0
0,0.00,8.05,1,0,70.00,1
0,0.38,25.05,0,0,66.90,1
0,0.09,31.09,0,0,64.90,1
0,0.00,12.08,0,0,63.00,0
0,0.00,8.05,1,0,42.10,1
0,0.40,21.03,0,0,52.00,1
0,0.00,17.90,0,0,35.10,0
0,0.00,8.95,1,0,46.90,1
0,0.00,14.09,1,0,61.00,1
0,0.00,6.04,1,0,46.00,1
0,0.00,12.97,1,0,35.10,1
